,High,Low,Open,Close,Volume,Adj Close
2021-02-18,2.7699999809265137,2.6700000762939453,2.700000047683716,2.680000066757202,6274277,2.680000066757202
2021-02-19,2.7200000286102295,2.6600000858306885,2.700000047683716,2.7200000286102295,5877321,2.7200000286102295
2021-02-22,2.7699999809265137,2.6600000858306885,2.700000047683716,2.690000057220459,13626293,2.690000057220459
2021-02-23,2.700000047683716,2.619999885559082,2.700000047683716,2.640000104904175,10566400,2.640000104904175
2021-02-24,2.7100000381469727,2.630000114440918,2.630000114440918,2.6600000858306885,5898677,2.6600000858306885
2021-02-25,2.6700000762939453,2.630000114440918,2.6600000858306885,2.6500000953674316,4391440,2.6500000953674316
2021-02-26,2.6500000953674316,2.609999895095825,2.630000114440918,2.640000104904175,3884400,2.640000104904175
2021-03-01,2.700000047683716,2.640000104904175,2.640000104904175,2.680000066757202,3897940,2.680000066757202
2021-03-02,2.700000047683716,2.6600000858306885,2.680000066757202,2.6700000762939453,4783300,2.6700000762939453
2021-03-03,2.690000057220459,2.630000114440918,2.6600000858306885,2.6700000762939453,6654700,2.6700000762939453
2021-03-04,2.6700000762939453,2.5799999237060547,2.6700000762939453,2.609999895095825,10046180,2.609999895095825
2021-03-05,2.6500000953674316,2.609999895095825,2.619999885559082,2.630000114440918,8357320,2.630000114440918
2021-03-08,2.640000104904175,2.549999952316284,2.630000114440918,2.549999952316284,10793240,2.549999952316284
2021-03-09,2.569999933242798,2.430000066757202,2.559999942779541,2.5,7269421,2.5
2021-03-10,2.509999990463257,2.4600000381469727,2.509999990463257,2.4600000381469727,3609200,2.4600000381469727
2021-03-11,2.4800000190734863,2.450000047683716,2.4600000381469727,2.4800000190734863,7400200,2.4800000190734863
2021-03-12,2.4800000190734863,2.440000057220459,2.4700000286102295,2.4800000190734863,6105200,2.4800000190734863
2021-03-15,2.5999999046325684,2.4700000286102295,2.490000009536743,2.549999952316284,9618641,2.549999952316284
2021-03-16,2.569999933242798,2.5299999713897705,2.5299999713897705,2.569999933242798,5375920,2.569999933242798
2021-03-17,2.619999885559082,2.549999952316284,2.5799999237060547,2.619999885559082,5670023,2.619999885559082
2021-03-18,2.6700000762939453,2.609999895095825,2.619999885559082,2.6600000858306885,8573713,2.6600000858306885
2021-03-19,2.700000047683716,2.6500000953674316,2.6500000953674316,2.690000057220459,5944600,2.690000057220459
2021-03-22,2.7799999713897705,2.690000057220459,2.700000047683716,2.7699999809265137,8882720,2.7699999809265137
2021-03-23,2.7799999713897705,2.7100000381469727,2.7799999713897705,2.7300000190734863,7117780,2.7300000190734863
2021-03-24,2.740000009536743,2.700000047683716,2.7200000286102295,2.7100000381469727,6689980,2.7100000381469727
2021-03-25,2.8499999046325684,2.700000047683716,2.700000047683716,2.8499999046325684,7742582,2.8499999046325684
2021-03-26,2.990000009536743,2.869999885559082,2.869999885559082,2.930000066757202,13940342,2.930000066757202
2021-03-29,2.950000047683716,2.880000114440918,2.9100000858306885,2.880000114440918,6936266,2.880000114440918
2021-03-30,3.0199999809265137,2.8499999046325684,2.869999885559082,3.0199999809265137,9896670,3.0199999809265137
