,High,Low,Open,Close,Volume,Adj Close
2021-02-18,186.58999633789062,178.0800018310547,182.27999877929688,180.6999969482422,1184927,180.6999969482422
2021-02-19,182.5500030517578,168.82000732421875,181.0800018310547,176.61000061035156,1662483,176.61000061035156
2021-02-22,178.0,165.36000061035156,177.0,165.58999633789062,1360584,165.58999633789062
2021-02-23,169.97999572753906,163.0500030517578,164.67999267578125,164.10000610351562,1238901,164.10000610351562
2021-02-24,166.89999389648438,160.0,164.10000610351562,161.25,1110343,161.25
2021-02-25,177.3800048828125,162.99000549316406,163.7899932861328,177.3800048828125,1907326,177.3800048828125
2021-02-26,182.3800048828125,173.3000030517578,178.0,179.7899932861328,2182151,179.7899932861328
2021-03-01,191.86000061035156,179.61000061035156,179.61000061035156,185.8800048828125,1608036,185.8800048828125
2021-03-02,188.6999969482422,183.57000732421875,185.88999938964844,186.8000030517578,969840,186.8000030517578
2021-03-03,191.19000244140625,184.00999450683594,188.4199981689453,184.75999450683594,1018929,184.75999450683594
2021-03-04,187.0,180.0,184.64999389648438,183.11000061035156,1373217,183.11000061035156
2021-03-05,189.77999877929688,178.4600067138672,183.11000061035156,186.49000549316406,1199297,186.49000549316406
2021-03-08,203.3300018310547,188.82000732421875,190.0,191.7100067138672,2036651,191.7100067138672
2021-03-09,192.02000427246094,172.5399932861328,191.36000061035156,172.5399932861328,2735665,172.5399932861328
2021-03-10,174.82000732421875,165.02999877929688,174.82000732421875,165.92999267578125,1578806,165.92999267578125
2021-03-11,175.0,166.24000549316406,167.9499969482422,174.24000549316406,1049341,174.24000549316406
2021-03-12,175.60000610351562,170.0,174.0,173.67999267578125,884163,173.67999267578125
2021-03-15,173.89999389648438,168.7899932861328,173.7100067138672,172.16000366210938,670337,172.16000366210938
2021-03-16,177.74000549316406,170.0,172.16000366210938,176.99000549316406,856120,176.99000549316406
2021-03-17,179.5,173.60000610351562,176.0500030517578,177.1699981689453,435489,177.1699981689453
2021-03-18,187.0,176.92999267578125,176.92999267578125,181.91000366210938,710198,181.91000366210938
2021-03-19,187.97000122070312,178.88999938964844,179.0,187.27000427246094,1202077,187.27000427246094
2021-03-22,195.67999267578125,185.52000427246094,186.75,193.9499969482422,1037570,193.9499969482422
2021-03-23,194.99000549316406,187.00999450683594,194.0,192.52000427246094,748223,192.52000427246094
2021-03-24,194.97999572753906,190.0500030517578,192.0,193.10000610351562,631204,193.10000610351562
2021-03-25,195.0,191.0,191.0,193.3000030517578,597698,193.3000030517578
2021-03-26,198.50999450683594,193.1999969482422,193.36000061035156,196.9499969482422,559872,196.9499969482422
2021-03-29,199.17999267578125,190.5,197.10000610351562,195.77000427246094,799357,195.77000427246094
2021-03-30,201.3000030517578,195.6699981689453,195.67999267578125,198.17999267578125,741013,198.17999267578125
2021-03-31,199.8000030517578,192.67999267578125,199.7899932861328,199.1999969482422,950319,199.1999969482422
2021-04-01,202.4600067138672,197.75,199.0399932861328,199.49000549316406,417759,199.49000549316406
2021-04-02,205.0,198.5,203.7899932861328,200.64999389648438,594607,200.64999389648438
2021-04-06,200.9499969482422,197.02000427246094,200.9499969482422,199.99000549316406,469039,199.99000549316406
2021-04-07,203.02000427246094,198.0,199.97999572753906,202.0800018310547,613701,202.0800018310547
2021-04-08,204.0,199.49000549316406,200.55999755859375,203.19000244140625,493414,203.19000244140625
2021-04-09,215.0,192.14999389648438,204.0,198.8800048828125,1693125,198.8800048828125
2021-04-12,201.5,192.66000366210938,198.8000030517578,194.39999389648438,855097,194.39999389648438
