,High,Low,Open,Close,Volume,Adj Close
2021-02-18,389.6300048828125,360.0,385.0,362.20001220703125,4366180,362.20001220703125
2021-02-19,390.70001220703125,347.8999938964844,360.0,387.44000244140625,3951500,387.44000244140625
2021-02-22,381.1099853515625,348.70001220703125,381.1099853515625,348.70001220703125,5021053,348.70001220703125
2021-02-23,344.0,322.0,332.57000732421875,328.0,5669769,328.0
2021-02-24,331.2699890136719,295.20001220703125,326.0,295.20001220703125,7689134,295.20001220703125
2021-02-25,303.0,286.20001220703125,295.20001220703125,290.7900085449219,4934403,290.7900085449219
2021-02-26,280.0,261.7099914550781,280.0,265.0,9577973,265.0
2021-03-01,275.0,253.0,268.5799865722656,264.29998779296875,8834565,264.29998779296875
2021-03-02,268.5799865722656,250.5800018310547,267.0,253.58999633789062,7057916,253.58999633789062
2021-03-03,261.0,246.17999267578125,250.00999450683594,257.69000244140625,6201049,257.69000244140625
2021-03-04,251.99000549316406,231.9199981689453,251.99000549316406,231.9199981689453,10222742,231.9199981689453
2021-03-05,239.99000549316406,224.61000061035156,225.6199951171875,237.35000610351562,7621306,237.35000610351562
2021-03-08,239.0,214.0,238.72000122070312,214.0,8385936,214.0
2021-03-09,221.67999267578125,206.10000610351562,214.0,210.0,9694405,210.0
2021-03-10,231.0,217.0,217.8699951171875,231.0,12359067,231.0
2021-03-11,247.89999389648438,224.32000732421875,225.36000061035156,240.39999389648438,9111399,240.39999389648438
2021-03-12,244.3000030517578,236.0,244.0,243.66000366210938,4530812,243.66000366210938
2021-03-15,239.0,219.2899932861328,238.5500030517578,222.5,7772891,222.5
2021-03-16,225.47000122070312,213.5500030517578,224.88999938964844,222.5800018310547,5922186,222.5800018310547
2021-03-17,231.8800048828125,214.8000030517578,222.5800018310547,229.1999969482422,4241499,229.1999969482422
2021-03-18,238.66000366210938,227.1999969482422,229.32000732421875,236.5,3357850,236.5
2021-03-19,235.35000610351562,226.1199951171875,228.36000061035156,231.02999877929688,3172618,231.02999877929688
2021-03-22,237.44000244140625,222.1999969482422,232.0,229.92999267578125,3317329,229.92999267578125
2021-03-23,235.85000610351562,227.0800018310547,229.49000549316406,231.6999969482422,2822418,231.6999969482422
2021-03-24,236.97000122070312,227.02000427246094,228.9600067138672,228.30999755859375,3648385,228.30999755859375
2021-03-25,243.0,223.75999450683594,225.0800018310547,242.39999389648438,4100773,242.39999389648438
2021-03-26,252.85000610351562,241.10000610351562,244.0,250.0,4210897,250.0
2021-03-29,255.60000610351562,242.5,248.8800048828125,249.39999389648438,3188927,249.39999389648438
2021-03-30,258.75,247.00999450683594,249.99000549316406,254.05999755859375,3364102,254.05999755859375
2021-03-31,254.0,244.0,250.0,250.5,3256944,250.5
2021-04-01,275.0,251.24000549316406,251.24000549316406,270.239990234375,3547904,270.239990234375
2021-04-02,280.8399963378906,267.0799865722656,267.70001220703125,277.7699890136719,2961734,277.7699890136719
2021-04-06,280.0,265.0,279.9700012207031,275.29998779296875,2710429,275.29998779296875
2021-04-07,274.6400146484375,261.5,270.6400146484375,267.0,2961202,267.0
2021-04-08,280.0,262.0799865722656,264.7300109863281,279.010009765625,3013144,279.010009765625
2021-04-09,280.6000061035156,268.6000061035156,279.0,274.70001220703125,2165908,274.70001220703125
2021-04-12,271.57000732421875,251.52000427246094,260.0,265.989990234375,5304562,265.989990234375
2021-04-13,289.9200134277344,265.0,265.32000732421875,283.0,4650869,283.0
2021-04-14,287.2900085449219,277.7699890136719,285.8999938964844,282.54998779296875,3097323,282.54998779296875
2021-04-15,286.8999938964844,275.1000061035156,279.95001220703125,282.7300109863281,2845805,282.7300109863281
2021-04-16,287.989990234375,276.0899963378906,282.7799987792969,279.5,2755375,279.5
2021-04-19,292.9700012207031,270.54998779296875,275.0,291.8500061035156,3308064,291.8500061035156
2021-04-20,298.0,284.79998779296875,289.989990234375,289.69000244140625,3285445,289.69000244140625
2021-04-21,297.0,284.0,284.0,291.0,2600125,291.0
2021-04-22,295.0,285.70001220703125,290.0,293.6000061035156,2062635,293.6000061035156
2021-04-23,307.45001220703125,290.6000061035156,292.8800048828125,302.75,3017777,302.75
2021-04-26,306.760009765625,286.0,304.69000244140625,286.0,3969704,286.0
2021-04-27,302.989990234375,286.0,286.010009765625,300.19000244140625,3604369,300.19000244140625
2021-04-28,314.5,298.25,300.8999938964844,310.29998779296875,3708563,310.29998779296875
2021-04-29,315.0,307.25,309.8999938964844,312.7300109863281,2274303,312.7300109863281
2021-04-30,315.3599853515625,309.6000061035156,310.2200012207031,313.20001220703125,2005386,313.20001220703125
2021-05-06,314.45001220703125,302.010009765625,307.6499938964844,308.2900085449219,2567929,308.2900085449219
2021-05-07,318.4800109863281,305.1000061035156,308.79998779296875,305.79998779296875,2273978,305.79998779296875
2021-05-10,315.8800048828125,300.0199890136719,301.0,313.0199890136719,2380151,313.0199890136719
2021-05-11,332.0,311.0,311.010009765625,327.79998779296875,2939340,327.79998779296875
2021-05-12,340.9800109863281,325.70001220703125,326.2200012207031,335.3399963378906,2675391,335.3399963378906
2021-05-13,348.3500061035156,328.6600036621094,332.7799987792969,346.0,2688595,346.0
2021-05-14,356.57000732421875,342.04998779296875,346.0,343.8999938964844,3383068,343.8999938964844
2021-05-17,357.6000061035156,342.0,343.0,354.70001220703125,2496655,354.70001220703125
2021-05-18,357.75,348.0199890136719,353.5,352.739990234375,1778958,352.739990234375
2021-05-19,354.75,340.0,354.0799865722656,345.010009765625,2859130,345.010009765625
2021-05-20,351.739990234375,342.0,345.0199890136719,345.5,2397386,345.5
2021-05-21,352.739990234375,336.0,346.95001220703125,343.6700134277344,2453077,343.6700134277344
2021-05-24,350.0,334.260009765625,345.0,349.42999267578125,2829144,349.42999267578125
2021-05-25,358.20001220703125,346.1600036621094,348.95001220703125,357.45001220703125,2494804,357.45001220703125
2021-05-26,357.3999938964844,345.8999938964844,357.3999938964844,347.010009765625,2484455,347.010009765625
2021-05-27,359.20001220703125,337.7799987792969,347.0199890136719,358.1499938964844,3079505,358.1499938964844
2021-05-28,362.3699951171875,345.5,356.30999755859375,350.3500061035156,2524245,350.3500061035156
2021-05-31,353.6000061035156,347.1099853515625,347.1099853515625,351.0,2015108,351.0
2021-06-01,380.5,352.3999938964844,355.17999267578125,378.3500061035156,4833594,378.3500061035156
2021-06-02,381.6000061035156,359.0,378.0,363.8999938964844,3626788,363.8999938964844
2021-06-03,379.55999755859375,356.20001220703125,360.260009765625,370.29998779296875,2928982,370.29998779296875
